,km_f
1,"['리스크 발생가능성', '영향도', '직무분리', '내부통제', '준수', '어려움', '내부통제', '퇴직연금', '개선', '부적절한 업무', '관행', '부당한 업무지시', '부적절한 업무', '영업 효율성', '결제 간소화', '재무회계 통제', '법인선물옵션부', '직원 관리']"
2,"['권리 누락', '만기 누락', '책임 소재', '상품 선가입', '미비', '보완', '사고 사례', '경각심', '게시물', '상품 가입', '미비', '절차', '부당한 업무', '목격', '부적절', 'PB 골드넷+', '교육', '지점 대형화']"
3,"['상품 선가입', '내부통제', '인식 수준', '퇴직연금', '자동발송', '내역 발송', '금융사고', '사건 공개', '직원']"
4,"['투자 시간', '인당 노력', '내부통제 준수', '내부통제 절차', '개선 사항', '부적절한 관행', '부당한 업무', '부적절한 업무', '퇴사한 직원', '강압적인 업무지시', '모욕', '묵인']"
5,"['리스크', '금융상품', '문제 없음', '내부통제', '준법 인식', '영업', '해외주식 양도세', '전화 녹취', '내방 업무', '부적절한 업무절차', '관행', '없음', '부당한 업무지시', '부적절한 업무', '없음', '전문가 영업', '잘못된 인사', '인력 부서배치']"
6,"['승인 프로세스 개선', '대주주 대출 시스템', '문서 보관 리스크', '내부통제 보완', '인식 수준 4점', '해외주식 프로세스 개선', '크로스체크 시스템', '전자문서 고도화', '순환보직', '인수인계서 확대']"
7,"['리스크', '지점', '발생 가능성', '서류 복잡성', '내부통제', '리스크 상품 판매', '인사 문제', '공정한 인력배치', '부서 감사']"
8,"['승인 프로세스', '대주주 대출', '주식 신용 대출', '내부통제 준수', '인식 수준', '보완 완료', '해외주식 시스템', '화면 데이터 정확성', '연금 이전', '업무 교육']"
9,"['연금 이전', '업무 복잡성', '전문팀 통합', 'PB 인식', '업무 처리 문제']"
10,"['오퍼레이팅', '체크 분리', '법인잔고', '일반등기', '교육 필요', '내부통제', '규정 인식', '컨트롤타워', '권한 관리', '통제', '정책 연계성', '사업 목표', '전략방향']"
11,"['승인 프로세스', '분리 근무', '리스크', '해외주식 단가입력', '전자문서', '업무처리 매뉴얼']"
12,"['영업', '자율성', '리스크', '통제 프로세스', '시스템 마련', '내부통제', '조언 부족', '규정', '인식', '고객지원팀', '검사 기능', '윤리교육', '업무공지', '직원 식별', '조직 슬림화', '부서 이름', '감사 기능', '통제']"
13,"['현장 감사', '내부통제', '불안함', '외화상품', '환율 오류', '문서 불일치', '실질적 교육', '법인 계좌개설', '교육 필요성']"
14,"['점심시간', '대직체계', '골드윙메신저', 'CEO 책임', '조직 개편', '상품경쟁력']"
15,"['ELS', '정보 전달', '위험성', '온라인 매매', '고객 등급', '내부통제', '금융투자상품', '컨트롤타워', '감사 메시지']"
16,"['금융투자상품', '검증 부족', '사고 발생', '무리한 영업', '규정 준수', '감사 횟수 증가', '시스템 감시', '인사 발령', '개선 필요']"
17,"['IB영업', '법인영업', '리스크', '라임사태', '서류간소화', '법인카드', '부적절한 업무 절차', '관행 없음', '부당한 지시', '부적절한 업무', '상급자', '부서 수익', '내부통제', '리스크']"
18,"['선물', '옵션', '전문가 부재', '계좌관리', '리스크', 'KPI', '영업', '본인계좌', '고객계좌', '임의매매', '롤오버 상품', '서류 미비', 'MMT', '상품 가입', '유선 설명', 'LP 부서', '수익부서', '조직 개편', '타사 모니터링']"
19,"['프로주식랩', '개인정보 노출', '시스템 비번', '동기부여', '19bms', '안정주의']"
20,"['내부통제', '법규준수', '인식수준', 'KPI', '수익 단일화', '정책 변화', '영업 분위기', '상품 목적']"
